com_address,coordinates
"Sasmuan, Pampanga","(14.941060066223145, 120.6223373413086)"
"San Jose, Tarlac","(15.489890098571777, 120.65995788574219)"
"Piat, Cagayan","(17.75766944885254, 121.49050903320312)"
"Valencia, Bukidnon","(7.905680179595947, 125.0931167602539)"
"Bais City, Negros Oriental","(9.589469909667969, 123.12126159667969)"
"Lambayong, Sultan Kudarat","(6.8020501136779785, 124.6329116821289)"
"Infanta, Pangasinan","(15.826089859008789, 119.90727996826172)"
"Sampaloc, Quezon","(14.162220001220703, 121.638671875)"
"Amadeo, Cavite","(14.170310020446777, 120.92198181152344)"
"Alfonso, Cavite","(14.126540184020996, 120.86190032958984)"
"Alfonso Castaneda, Nueva Vizcaya","(15.79281997680664, 121.30380249023438)"
"Santo Tomas, La Union","(14.631999969482422, -91.41095733642578)"
"Mansalay, Oriental Mindoro","(12.520580291748047, 121.4395523071289)"
